API WELL  NUMBER,OIL,GAS,BRINE
34019223280000,0,279402,2305
34019223290000,0,371842,2080
34019223300000,8,299615,2150
34019223310000,1507,84523,1079
34019223320000,1654,111380,108
34019223330000,2264,116181,733
34019223340000,47,187741,751
34019223350000,2366,114140,637
34019223360000,3272,124934,624
34019223370000,2187,159754,1138
34019223380000,1868,141402,1024
34019223390000,130,136697,1255
34019223400000,7314,103236,1976
34019223410000,6117,90835,846
34019223420000,113,173130,444
34019223480000,6291,95995,567
34019223490000,1019,124996,359
34019223500000,929,239689,2868
34019223510000,325,155463,364
34019223520000,64,147554,1189
34019223530000,76,232765,928
34019223540000,36,267031,2489
34019223550000,205,284537,2382
34019223570000,168,235135,2367
34019223680000,1784,158326,272
34019223720000,0,303991,3555
34019223730000,3950,111133,2189
34019223750000,26,182275,423
34019223790000,229,185748,463
34019223800000,5,87223,108
34019223890000,21,303133,1511
34019223920000,2284,91744,400
34019223930000,2192,157896,2401
34019223940000,2133,95480,808
34019223950000,264,129332,674
34019223960000,1407,171492,1600
34019223970000,509,132329,460
34019223990000,676,148347,824
34019224000000,1563,185789,411
34019224010000,2091,261469,1516
34019224020000,491,139531,604
34019224030000,555,129175,1110
34019224050000,700,135212,417
34019224080000,1964,152018,1416
34019224090000,1897,305837,2668
34019224100000,3112,144847,365
34019224110000,62,105042,525
34019224120000,65,69888,381
34019224140000,0,347894,1700
34019224170000,113,159704,1830
34019224180000,0,191508,1165
34019224200000,1687,190003,1857
34019224220000,2175,132265,142
34019224230000,1792,139377,1757
34019224240000,2042,190103,2338
34019224250000,851,221080,2200
34019224260000,894,230565,1708
34019224270000,1071,170196,1975
34019224280000,79,157432,1218
34019224290000,2092,88733,545
34019224300000,2649,99366,925
34019224330000,3244,95765,656
34019224450000,3,208699,967
34019224460000,71,233448,1969
34019224470000,0,189806,977
34019224480000,4394,191229,1191
34019224500100,2214,151041,3528
34019224510000,4682,200964,2276
34019224520000,1861,106631,1205
34019224550000,2630,132525,882
34019224560000,0,281145,1506
34019224570000,1920,149668,1398
34019224580000,1260,110629,1449
34019224630000,246,361556,186
34019224650000,1015,209945,2491
34019224720000,2887,102219,410
34019224730000,4,549298,2452
34019224740000,3057,159022,930
34019224750000,2935,121046,1068
34019224760000,1286,82551,1208
34019224770000,3216,86877,1081
34019224800000,1305,122023,462
34019224820000,2568,158150,531
34019224840000,2718,154934,117
34019224850000,672,122305,993
34019224860100,691,57505,866
34019224870000,1621,152950,1104
34019224880000,1867,202782,2693
34019224890000,1703,130318,512
34019224900000,287,83053,1246
34019224910000,687,166012,879
34019224920000,4321,174459,409
34019224950000,1993,100233,1187
34019224960000,2072,106595,2130
34019224980000,469,54222,784
34019225060000,0,162683,807
34019225070000,4186,137386,1734
34019225080000,2293,149838,2568
34019225090000,8431,189420,1688
34019225100000,1683,80689,321
34019225180000,2766,235985,1302
34019225190000,2753,161575,2887
34019225200000,2304,152758,962
34019225210000,22,233639,2834
34019225220000,10,156480,309
34019225230000,1,223299,2664
34019225240000,9,411559,0
34019225250000,0,368860,3268
34019225260000,0,320107,4190
34019225270000,10,270406,2268
34019225280000,1942,97917,1384
34019225290000,1192,76895,1121
34019225300000,941,73121,1016
34019225310000,5529,214310,4506
34019225320000,4217,147097,1344
34019225330000,4347,166921,1505
34019225340000,2665,172510,874
34019225350000,3808,261042,2007
34019225360000,2951,173796,2040
34019225370000,3027,120301,978
34019225390000,4669,233577,3345
34019225400000,62,261078,1105
34019225410000,0,214102,1523
34019225420000,0,201834,324
34019225430000,7980,167325,2564
34019225440000,5447,153995,945
34019225450000,3600,141848,4645
34019225460000,2582,107710,3525
34019225470000,5653,167350,3382
34019225480000,6136,134599,1157
34019225490000,0,183821,1889
34019225500000,0,229448,2091
34019225510000,120,351739,834
34019225540000,769,94910,1184
34019225550000,0,279898,3801
34019225560000,0,281023,3610
34019225570000,0,232196,2732
34019225600000,965,248262,1124
34019225610000,749,224421,1294
34019225620000,11,331062,2082
34019225630000,2249,183807,667
34019225640000,1665,134585,202
34019225650000,2791,205824,2192
34019225660000,1928,174652,1269
34019225670000,1516,159605,4751
34019225680000,2197,258696,1413
34019225690000,3280,240804,5928
34019225700000,3321,211080,3163
34019225720000,5535,218543,3605
34019225730000,6272,196845,2822
34019225740000,4022,157901,1795
34019225750000,7896,198244,5269
34019225760000,6675,194628,5115
34019225770000,0,320609,1375
34019225780000,0,348534,2076
34019225790000,10679,114788,2526
34019225800000,13541,173007,3410
34019225810000,15701,195131,3905
34019225820000,17366,180123,2220
34019225850000,2797,154375,881
34019225860000,2053,176734,1820
34019225870000,0,410955,3175
34019225880000,0,318734,282
